family,doculect,latitude,longitude,concepts
Lengua-Mascoy,Enlhet,-22.54,-58.98,215
Lengua-Mascoy,Enxet Sur,-23.43,-57.95,188
Barbacoan,Awa,1.21652,-78.3401,323
Chocoan,Catío,7.52721,-76.7476,339
Barbacoan,Cayapa,0.71489,-79.0508,1219
Guahiboan,Cuiba,6.19829,-69.8197,337
Chocoan,Embera,7.12761,-77.574,771
Chocoan,Embera Tadó,5.23658,-77.1533,318
Chocoan,Embera Chamí,4.8791,-76.0749,319
Chocoan,Epena,4.25877,-77.3566,955
Guahiboan,Guahibo,5.81736,-68.9839,336
Barbacoan,Guambiano,2.55849,-76.582,297
Guahiboan,Guayabero,2.8969,-71.844,336
Guahiboan,Jitnu,6.34582,-71.2671,320
Naduhup,Hup,0.166667,-69.25,1089
Guahiboan,Playero,6.90948,-71.0036,328
,Puinave,3.92974,-67.6886,1030
,Páez,2.61516,-76.31254,1123
Saliban,Sáliba,5.30115,-69.3843,289
Barbacoan,Totoró,2.55149,-76.6379,273
Barbacoan,Colorado,-0.21181,-79.2347,910
Chocoan,Wounaan,8.5,-78.0,339
Cochimi-Yuman,Yuma,32.7859,-114.599,145
Miwok-Costanoan,Central Sierra Miwok,38.0812,-120.257,237
Miwok-Costanoan,Mutsun,36.84721,-121.44911,272
Miwok-Costanoan,Northern Sierra Miwok,38.4179,-120.588,276
Miwok-Costanoan,Plains Miwok,38.39772,-121.653344,266
Miwok-Costanoan,Southern Sierra Miwok,38.2363,-120.507,272
Cochimi-Yuman,Yavapai,35.6302,-113.385,253
Cochimi-Yuman,Iipay 'Aa,32.331,-116.604,235
Cochimi-Yuman,Cocopa,32.376,-114.848,270
Cochimi-Yuman,Kiliwa,30.5471,-115.123,263
Cochimi-Yuman,Mojave,34.8866,-114.599,276
Miwok-Costanoan,Lake Miwok,39.0021,-122.621,275
Chumashan,Chumash Barbareno,34.462,-119.699,260
Chumashan,Chumash Ventureno,34.1761,-119.035,265
Chumashan,Chumash Obispeno,35.2873,-120.669,229
Chumashan,Chumash Cruzeno,34.0465,-119.864,132
Chumashan,Chumash Ineseno,34.6169,-120.08,250
,Yaruro,7.10677,-67.5996,1106
Chicham,Aguaruna,-5.30044,-77.9218,1158
Chicham,Ashuar,-2.82646,-77.2641,321
Chicham,Huambisa,-3.99109,-77.9797,308
Naduhup,Dâw,-0.1177,-67.2934,309
Naduhup,Yuhup,0.2485,-69.8079,214
Saliban,Piaroa,4.41805,-67.7574,301
Lengua-Mascoy,Sanapaná (Angaité dialect),-22.85,-58.45,1005
Lengua-Mascoy,Sanapaná (Enlhet dialect),-22.49,-58.38,1178
Lengua-Mascoy,Lengua,-22.6559,-58.9053,1099
Muskogean,Alabama,30.76738,-94.62848,284
,Atakapa,30.9121,-93.0827,263
Misumalpan,Miskito,15.1576,-84.2942,271
,Natchez,31.75,-91.33,257
Chicham,Shuar,-3.45136,-78.1892,176
Misumalpan,Cacaopera,13.74,-88.11,110
Misumalpan,Mayangna,14.13,-84.34,110
Misumalpan,Ulwa,12.93,-83.58,110
Muskogean,Choctaw,33.8993,-94.819,98
Cochimi-Yuman,Ipai,33.005,-116.993,97
