ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile
Morike-6_tongue-1,,Morike,6_tongue,pimĩn,pimĩn,p i m ĩ n,Zunge,,,,^ p i m ĩ n $,default
Morike-30_tooth-1,,Morike,30_tooth,pas,pas,p a s,Zahn,,,,^ p a s $,default
Morike-83_eye-1,,Morike,83_eye,piṓki̯,piṓki̯,p i o k !i̯/i,Auge,,,,^ p i ṓ k i̯ $,default
Morike-22_ear-1,,Morike,22_ear,pʋái,pʋái,p ʋ !á/a i,Ohr,,,,^ p ʋ á i $,default
Morike-4_water-1,,Morike,4_water,ōn,ōn,ō n,Wasser,,,,^ ō n $,default
Morike-1_fire-1,,Morike,1_fire,aškṓmi,aškṓmi,a ʃ k o m i,Feuer,,,,^ a š k ṓ m i $,default
Morike-63_soil-1,,Morike,63_soil,pṓtonǒ,pṓtonǒ,p o t o n !ǒ/o,Erde (Erdboden),,,,^ p ṓ t o n ǒ $,default
Morike-26_house-1,,Morike,26_house,anár,anár,a n !á/a r,Haus (Wohn-),,,,^ a n á r $,default
Morike-33_one-1,,Morike,33_one,akápastoi,akápastoi,a k !á/a p a s t o i,eins,,,,^ a k á p a s t o i $,default
Morike-43_black-1,,Morike,43_black,paskšómašišo,paskšómašišo,p a s k ʃ !ó/o m a ʃ i ʃ o,schwarz,,,,^ p a s k š ó m a š i š o $,default
Morike-65_red-1,,Morike,65_red,kurápuits,kurápuits,k u r !á/a p u i ts,rot,,,,^ k u r á p u i ts $,default
Morike-57_good-1,,Morike,57_good,ontí,ontí,o n t !í/i,gut,,,,^ o n t í $,default
Morike-75_toeat-1,,Morike,75_toeat,pinšínari,pinšínari,p i n ʃ !í/i n a r i,essen,,,,^ p i n š í n a r i $,default
